GEO_ID,Division,Population,Male(%),Female(%),Median_age,Hispanic+Latino(%),White(%),Black(%),Amr_Indian+Alaska(%),Asian(%),Hawaiian(%),Other_race(%),More_races(%),Housing_units,Household_Median_Income (dollar) ,<9th_grade(%) ,High_school_or_higher(%),Bachelor_or_higher(%),Population_(16yr<),In_labor_force(%),Household_with_children (6~ 17yr),All_parents_in_labor_force_with_child(6~17yr)(%),Workers (16yr<),Mean_Commuting_time (minutes),With_health_insurance(%),Private_health_insurance(%),With_public_coverage(%),Num_Households,computing_devices>=1(%),Internet_access(%)
0500000US51570,Colonial Heights city,18127,0.46,0.54,39,6.7,70.3,16.2,0.2,3.5,0,0,3,8107,65570,3.64,92,26,"14,372",64.6,"2,658",82,"8,490",26.1,92.2,72.6,38.1,7465,92.54,85.1
0500000US51580,Covington city,5716,0.48,0.52,42,2.6,80.5,11.9,0,1.2,0,0,3.8,3046,41242,2.36,89,14,  N/A , N/A, N/A, N/A, N/A, N/A, N/A,N/A,N/A,2547,88.34,83.16
0500000US51590,Danville city,42556,0.46,0.54,41,4.7,40.9,48.9,0,1.3,0.1,0.2,3.8,22264,38904,5.13,84,18,"34,118",52.9,"6,038",62.9,"16,324",19,90.6,54.1,50.9,18590,84.83,72.95
0500000US51610,Falls Church city,14494,0.5,0.5,39,10.7,70.6,4.5,0,9.2,0,0.3,4.6,6069,155071,1.53,97,79,"11,459",74.3,"2,593",69.4,"7,973",27.8,98.9,95.7,13.9,5630,99.17,96.54
0500000US51620,Franklin city,8249,0.47,0.53,39,2.9,37.6,53.3,0,2.8,0,0,3.4,3878,49424,4.63,84,21,"6,252",59.8,"1,221",78.1,"3,362",25.9,95.6,57.4,55.5,3474,87.77,79.56
0500000US51630,Fredericksburg city,28027,0.46,0.54,31,11.3,58,20,0.1,3.5,0,0.2,6.9,11961,72293,4.72,91,43,"22,755",71.1,"3,470",67.1,"15,220",29.5,89.9,73.4,27.3,11198,94.61,88.38
0500000US51640,Galax city,6681,0.46,0.54,42,17.8,75.1,4.2,0.1,0.5,0.4,0.3,1.5,3255,39808,7.82,79,18,  N/A , N/A, N/A, N/A, N/A, N/A, N/A,N/A,N/A,2780,88.27,81.65
0500000US51650,Hampton city,136748,0.48,0.52,36,6.3,36.9,48.4,0.3,2.2,0.1,0.8,5,62183,59380,2.4,93,27,"110,392",66.1,"18,001",81.2,"67,356",22.3,92.4,70.2,39.1,57116,93.74,86.91
0500000US51660,Harrisonburg city,52062,0.49,0.51,26,20.5,64.3,6.6,0,3.1,0,0.7,4.9,18569,51055,8.56,83,35,"44,411",59.4,"5,300",77.3,"23,937",16.5,88.9,70.9,25.5,17102,93.12,80.94
0500000US51670,Hopewell city,23020,0.47,0.53,36,8.6,44.2,43.1,0,1,0,0.1,3,10395,44209,4.01,85,11,"17,628",61.3,"3,537",75.8,"9,589",25.6,92.3,55,50.1,9269,90.12,85.73
0500000US51678,Lexington city,7287,0.59,0.41,22,5.6,80,5.3,0,4,0,0.6,4.5,2377,66114,1.47,96,61,"6,815",40.1,330,88.8,"2,456",14.3,98,90.7,20.4,2005,93.87,84.09
0500000US51680,Lynchburg city,78973,0.47,0.53,29,4.5,61.9,28.2,0.1,2.5,0,0.2,2.5,33637,54015,3.75,90,38,"65,578",60.2,"9,217",72.4,"36,156",17,92.4,69.6,34,28939,93.24,88.95
0500000US51683,Manassas city,42596,0.51,0.49,35,38.1,38.9,12.6,0.1,5.6,0,0.3,4.3,14234,101934,7.58,86,32,"32,725",74.3,"7,303",67.4,"22,728",34.7,82.5,64,27.1,13562,96.03,95.62
0500000US51685,Manassas Park city,17081,0.52,0.48,36,41,31.1,13.5,0,11,0,0.1,3.3,5459,90544,12.59,80,26,"13,256",77.9,"2,794",63.2,"9,791",41.5,82.3,62.4,25.3,5155,97.3,95.11
0500000US51690,Martinsville city,13476,0.46,0.54,41,6.7,42.7,44.4,0.6,0.9,0.1,1.1,3.6,7065,36832,4.47,88,22,"10,332",56.8,"2,145",69.5,"5,308",20.1,90.1,50,50.9,5656,88.28,80.23
0500000US51700,Newport News city,185069,0.48,0.52,34,9.6,41.3,40.2,0.2,3.4,0.1,0.8,4.4,81418,57463,2.77,92,28,"145,764",67.6,"25,984",78.3,"91,965",23.5,90.3,67.3,36.5,74922,93.16,81.4
0500000US51710,Norfolk city,238556,0.52,0.48,31,8.6,42.9,40.1,0.2,3.6,0,0.3,4.3,100947,56244,3.18,89,32,"195,993",71.1,"26,290",73.7,"129,276",21.8,89.2,65,36.1,92877,93.47,86.25
0500000US51720,Norton city,3696,0.47,0.53,41,0,96.5,2.4,0,0.1,0,0,1.1,1801,35592,5.44,89,22,  N/A , N/A, N/A, N/A, N/A, N/A, N/A,N/A,N/A,1540,88.96,66.95
0500000US51730,Petersburg city,33229,0.46,0.54,37,5.1,15,75.8,0,1,0.1,0.1,2.8,17853,44890,6,85,22,"26,564",62.5,"3,938",83,"14,284",24.3,89.2,55.8,48.8,14464,87.06,78.58
0500000US51735,Poquoson city,12382,0.5,0.5,43,3.2,90.4,1.5,0,1.8,0,0,3.1,4906,112026,1.84,96,41,"10,117",64.5,"1,974",78.3,"6,334",25.9,97.1,88.4,25.6,4617,94.22,92.07
0500000US51740,Portsmouth city,97454,0.48,0.52,36,4.8,36.5,51.8,0.3,1.5,0,0.3,4.7,42934,54020,2.55,90,21,"76,870",63,"11,923",72.2,"45,044",22.9,90.8,62.4,43,38553,92.32,84.94
0500000US51750,Radford city,16205,0.46,0.54,24,3,83,9.1,0,1.9,0,0.3,2.8,6460,44360,3.79,92,40,"14,588",57.8,"1,038",75,"7,600",18.2,93.3,78,22.2,5545,91.94,85.16
0500000US51760,Richmond city,225676,0.48,0.52,34,7.3,41.4,45,0.1,2.1,0,0.4,3.6,110224,54795,4.7,88,43,"190,100",67.4,"21,647",79.5,"117,797",21.7,89.3,63.7,35.5,98821,91.42,81.2
0500000US51770,Roanoke city,99578,0.48,0.52,38,6.6,57.4,28.6,0.2,3.1,0.1,0.3,3.7,48537,48476,3.8,88,27,"79,108",64.8,"12,902",80.6,"47,194",21.3,89.5,59.4,41.6,42766,88.86,81.03
0500000US51775,Salem city,25335,0.48,0.52,41,3.6,84.2,7.1,0.1,1.9,0.1,0.8,2.3,11086,66472,2.3,93,32,"21,248",62.4,"3,188",70.7,"12,582",19.4,94,78.5,29.5,9971,91.58,85.82
0500000US51790,Staunton city,25358,0.46,0.54,41,3.6,80.1,10.9,0.4,1.3,0.3,0.2,3.2,12264,53041,2.3,92,30,"20,996",60.8,"2,807",82.5,"11,881",22.2,91.3,65.1,40.2,11125,87.29,77.5
0500000US51800,Suffolk city,93268,0.49,0.51,38,4.6,48.5,40.7,0.1,1.8,0,0.3,4,38021,81883,3.5,91,31,"73,337",66.9,"14,713",77.2,"44,903",29.6,93.6,74.7,33.2,35249,93.07,85.44
0500000US51810,Virginia Beach city,457658,0.49,0.51,37,8.6,60.5,18.3,0.1,6.8,0.1,0.4,5.1,189187,81810,1.7,94,39,"367,023",70.3,"64,727",73.8,"244,013",23.5,92.9,79.8,27.6,177046,96.43,92.93
0500000US51820,Waynesboro city,22149,0.49,0.51,39,8.9,73.4,10.9,0.3,1.6,0,0,4.9,10201,47238,5.54,88,28,"17,548",64.8,"3,177",78.7,"10,714",22.5,90.4,65.5,40.1,9419,90.72,84.27
0500000US51830,Williamsburg city,15299,0.47,0.53,26,7.4,67.8,15.6,0,6.6,0,0.2,2.4,5686,65297,2.42,93,50,"13,892",51.3,"1,016",69.2,"6,541",18.7,93.3,82.8,26,4778,97.24,85.52
0500000US51840,Winchester city,28194,0.49,0.51,37,18.2,64.5,9.5,0.2,2.1,0,0.9,4.6,12268,61321,5.19,87,34,"22,613",68.9,"4,100",81.6,"14,766",23,87.9,64.2,35.4,11018,89.44,81.68
