Division_ID,Division,G9,G10,G11,G12,PostGraduate,High_Stu_Total,Stu_disadvantaged,Stu_disabled,Dropout,Dropout_rate
72,Powhatan County ,387,366,337,348,,1438,273,195,5,0.24
73,Prince Edward County ,147,174,127,146,,594,296,87,28,3.11
74,Prince George County ,513,425,467,397,,1802,756,241,28,1
75,Prince William County ,7664,7388,7001,6763,,28816,12245,3699,545,1.27
77,Pulaski County ,316,327,315,267,,1225,526,178,12,0.65
122,Radford city ,180,156,121,118,,575,205,73,3,0.3
78,Rappahannock County ,60,54,72,59,,245,83,23,5,1.37
123,Richmond city ,1810,1961,1551,1317,14,6653,3011,1015,504,4.54
79,Richmond County ,104,93,107,88,,392,187,50,3,0.48
124,Roanoke city ,1062,990,900,790,,3742,2120,612,146,2.48
80,Roanoke County ,1203,1125,1035,1052,,4415,1232,643,51,0.77
81,Rockbridge County ,256,277,261,234,,1028,445,127,27,1.84
82,Rockingham County ,963,922,914,826,,3625,1501,380,44,0.82
83,Russell County ,276,310,233,275,,1094,630,148,21,1.26
139,Salem city ,321,331,322,288,6,1268,439,177,10,0.54
84,Scott County ,276,253,256,243,,1028,1030,148,13,0.84
85,Shenandoah County ,486,427,471,465,3,1852,729,260,18,0.64
86,Smyth County ,339,336,314,309,,1298,632,188,6,0.3
87,Southampton County ,175,189,188,208,,760,278,100,17,1.38
88,Spotsylvania County ,1978,2022,1813,1835,2,7650,3034,1067,174,1.52
89,Stafford County ,2561,2541,2304,2481,,9887,2560,1378,129,0.87
126,Staunton city ,208,215,206,159,,788,348,115,25,2.09
127,Suffolk city ,1271,1091,999,992,,4353,1553,623,81,1.23
90,Surry County ,51,65,55,48,,219,100,54,4,1.27
91,Sussex County ,79,75,81,68,,303,169,16,1,0.21
92,Tazewell County ,464,455,419,393,,1731,948,311,19,0.73
128,Virginia Beach city ,5453,5328,4933,4988,,20702,8454,2412,204,0.66
93,Warren County ,428,411,414,415,1,1669,701,245,17,0.68
94,Washington County ,554,550,561,537,,2202,876,368,27,0.82
130,Waynesboro city ,250,231,207,209,,897,422,102,12,0.88
95,Westmoreland County ,172,167,179,157,0,675,341,79,4,0.76
131,Williamsburg city ,965,919,967,902,,3753,1153,548,48,0.87
132,Winchester city ,382,344,332,311,,1369,786,207,47,2.33
96,Wise County ,398,413,389,342,1,1543,860,256,6,0.24
97,Wythe County ,353,304,295,302,,1254,534,139,8,0.43
98,York County ,1017,1064,960,1008,,4049,812,461,23,0.38
